Rk,Name,Position,Indct,First Year,Last Year,AP1,PB,St,CarAV,Games Played,Passes Completed,Passes Attempted,Passing Yards,TD Passes,Longest Pass,Ints,Sacks,Sacked Yards Lost,Rushing Attempts,Rushing Yards,Rushing TDs,Longest Rushing Run,Receptions,Receiving Yards,Receiving TDs,Longest Reception,Year
87,Jim Kelly\KellJi00,QB,2002,1986,1996,1,5,11,103,160,2874,4779,35467,237,84,175,323,2427,304,1049,7,24,2,40,0,35,1991
88,John Stallworth\StalJo00,WR,2002,1974,1987,1,3,10,80,165,,,,,,,,,9,111,1,47,537,8723,63,74,1980.5
89,Nick Buoniconti\BuonNi00,LB,2001,1962,1976,5,8,13,103,183,,,,,,,,,,,,,,,,,1969
90,Mike Munchak\MuncMi00,G,2001,1982,1993,2,9,11,91,159,,,,,,,,,,,,,,,,,1987.5
91,Jackie Slater\SlatJa00,T,2001,1976,1995,0,7,13,87,259,,,,,,,,,,,,,,,,,1985.5
92,Lynn Swann\SwanLy00,WR,2001,1974,1982,1,3,8,62,116,,,,,,,,,11,72,1,25,336,5462,51,68,1978
93,Ron Yary\YaryRo00,T,2001,1968,1982,6,7,12,97,207,,,,,,,,,,,,,1,5,0,5,1975
94,Jack Youngblood\YounJa00,DE,2001,1971,1984,5,7,13,105,202,,,,,,,,,,,,,,,,,1977.5
95,Howie Long\LongHo00,DE,2000,1981,1993,2,8,11,95,179,,,,,,,,,,,,,,,,,1987
96,Ronnie Lott\LottRo00,DB,2000,1981,1994,6,10,14,118,192,,,,,,,,,,,,,,,,,1987.5
97,Joe Montana\MontJo01,QB,2000,1979,1994,3,8,12,123,192,3409,5391,40551,273,96,139,313,2095,457,1676,20,21,,,,,1986.5
98,Dave Wilcox\WilcDa00,LB,2000,1964,1974,2,7,11,73,153,,,,,,,,,,,,,,,,,1969
99,Eric Dickerson\DickEr00,RB,1999,1983,1993,5,6,10,91,146,1,2,15,1,15,1,1,6,2996,13259,90,85,281,2137,6,50,1988
100,Tom Mack\MackTo00,G,1999,1966,1978,1,11,13,90,184,,,,,,,,,,,,,,,,,1972
101,Ozzie Newsome\NewsOz00,TE,1999,1978,1990,1,3,13,59,198,,,,,,,,,18,135,2,33,662,7980,47,74,1984
102,Billy Shaw\ShawBi00,G,1999,1961,1969,5,8,8,57,119,,,,,,,,,,,,,,,,,1965
103,Lawrence Taylor\TaylLa00,LB,1999,1981,1993,8,10,13,137,184,,,,,,,,,,,,,,,,,1987
104,Paul Krause\KrauPa00,DB,1998,1964,1979,3,8,15,113,226,1,2,11,1,11,0,0,0,1,0,0,0,2,17,0,13,1971.5
105,Tommy McDonald\McDoTo00,FL,1998,1957,1968,0,6,9,62,152,2,2,21,1,11,0,,,17,22,0,22,495,8410,84,91,1962.5
106,Anthony Munoz\MunoAn00,T,1998,1980,1992,9,11,12,133,185,,,,,,,,,,,,,7,18,4,12,1986
107,Mike Singletary\SingMi00,LB,1998,1981,1992,7,10,12,123,179,,,,,,,,,,,,,,,,,1986.5
108,Dwight Stephenson\StepDw00,C,1998,1980,1987,4,5,6,81,114,,,,,,,,,,,,,,,,,1983.5
109,Mike Haynes\HaynMi01,DB,1997,1976,1989,2,9,12,105,177,,,,,,,,,,,,,,,,,1982.5
110,Mike Webster\WebsMi00,C,1997,1974,1990,5,9,14,116,245,,,,,,,,,,,,,,,,,1982
111,Lou Creekmur\CreeLo00,T,1996,1950,1959,6,8,9,0,116,,,,,,,,,,,,,,,,,1954.5
112,Dan Dierdorf\DierDa00,T,1996,1971,1983,3,6,10,77,160,,,,,,,,,,,,,,,,,1977
113,Charlie Joiner\JoinCh00,WR,1996,1969,1986,1,3,16,91,239,0,1,0,0,0,0,0,0,8,22,0,9,750,12146,65,87,1977.5
114,Mel Renfro\RenfMe00,DB,1996,1964,1977,1,10,13,98,174,,,,,,,,,8,52,0,27,4,65,0,42,1970.5
115,Henry Jordan\JordHe00,DT,1995,1957,1969,5,4,11,94,163,,,,,,,,,,,,,,,,,1963
116,Steve Largent\LargSt00,WR,1995,1976,1989,1,7,14,103,200,2,7,29,0,18,0,0,0,17,83,1,21,819,13089,100,74,1982.5
117,Lee Roy Selmon\SelmLe00,DE,1995,1976,1984,1,6,9,73,121,,,,,,,,,,,,,,,,,1980
118,Kellen Winslow\WinsKe00,TE,1995,1979,1987,3,5,7,62,109,0,3,0,0,0,0,0,0,,,,,541,6741,45,67,1983
119,Tony Dorsett\DorsTo00,RB,1994,1977,1988,1,4,11,108,173,2,8,41,1,34,1,0,0,2936,12739,77,99,398,3554,13,91,1982.5
120,Jimmy Johnson\JohnJi01,DB,1994,1961,1976,4,5,14,100,213,,,,,,,,,,,,,40,690,4,80,1968.5
121,Leroy Kelly\KellLe00,RB,1994,1964,1973,3,6,8,87,136,3,16,93,2,36,0,1,7,1727,7274,74,70,190,2281,13,68,1968.5
122,Jackie Smith\SmitJa00,TE,1994,1963,1978,0,5,13,73,210,0,3,0,0,0,1,0,0,38,327,3,37,480,7918,40,81,1970.5
123,Randy White\WhitRa00,DT,1994,1975,1988,7,9,11,116,209,,,,,,,,,,,,,,,,,1981.5
124,Dan Fouts\FoutDa00,QB,1993,1973,1987,2,6,14,122,181,3297,5604,43040,254,81,242,319,2304,224,476,13,32,1,0,0,0,1980
125,Larry Little\LittLa00,G,1993,1967,1980,5,5,11,102,183,,,,,,,,,,,,,,,,,1973.5
126,Walter Payton\PaytWa00,RB,1993,1975,1987,5,9,13,128,190,11,34,331,8,56,6,0,0,3838,16726,110,76,492,4538,15,75,1981
127,Lem Barney\BarnLe00,DB,1992,1967,1977,2,7,11,99,140,,,,,,,,,5,45,0,27,,,,,1972
128,John Mackey\MackJo00,TE,1992,1963,1972,3,5,8,58,139,,,,,,,,,19,127,0,33,331,5236,38,89,1967.5
129,John Riggins\RiggJo00,RB,1992,1971,1985,1,1,12,91,175,0,2,0,0,0,0,0,0,2916,11352,104,66,250,2090,12,67,1978
130,Earl Campbell\CampEa00,RB,1991,1978,1985,3,5,7,68,115,1,3,57,1,57,1,0,0,2187,9407,74,81,121,806,0,66,1981.5
131,John Hannah\HannJo00,G,1991,1973,1985,7,9,13,111,183,,,,,,,,,,,,,,,,,1979
132,Stan Jones\JoneSt01,G,1991,1954,1966,3,7,12,39,157,,,,,,,,,,,,,,,,,1960
133,Jan Stenerud\stenejan01,K,1991,1967,1985,1,6,18,54,263,,,,,,,,,1,0,0,0,,,,,1976
134,Buck Buchanan\BuchBu00,DT,1990,1963,1975,4,8,13,93,182,,,,,,,,,,,,,,,,,1969
135,Bob Griese\GrieBo00,QB,1990,1967,1980,2,8,12,105,161,1926,3429,25092,192,86,172,267,2318,261,994,7,35,,,,,1973.5
136,Franco Harris\HarrFr00,RB,1990,1972,1984,1,9,12,102,173,0,1,0,0,0,0,0,0,2949,12120,91,75,307,2287,9,44,1978
137,Ted Hendricks\HendTe00,LB,1990,1969,1983,4,8,14,107,215,,,,,,,,,,,,,,,,,1976
138,Jack Lambert\LambJa00,LB,1990,1974,1984,6,9,10,110,146,,,,,,,,,,,,,,,,,1979
139,Bob St. Clair\St.CBo00,T,1990,1953,1963,0,5,11,24,119,,,,,,,,,,,,,,,,,1958
140,Mel Blount\BlouMe00,DB,1989,1970,1983,2,5,14,101,200,,,,,,,,,,,,,,,,,1976.5
141,Terry Bradshaw\BradTe00,QB,1989,1970,1983,1,3,13,106,168,2025,3901,27989,212,90,210,307,2694,444,2257,32,39,1,1,0,1,1976.5
142,Art Shell\ShelAr00,T,1989,1968,1982,2,8,12,92,207,,,,,,,,,,,,,,,,,1975
143,Willie Wood\WoodWi00,DB,1989,1960,1971,5,8,11,92,166,,,,,,,,,,,,,,,,,1965.5
144,Fred Biletnikoff\BileFr00,WR,1988,1965,1978,2,6,12,89,190,,,,,,,,,,,,,589,8974,76,82,1971.5
145,Mike Ditka\DitkMi00,TE,1988,1961,1972,2,5,8,56,158,,,,,,,,,2,2,0,11,427,5812,43,76,1966.5
146,Jack Ham\HamxJa00,LB,1988,1971,1982,6,8,12,114,162,,,,,,,,,,,,,,,,,1976.5
147,Alan Page\PageAl00,DT,1988,1967,1981,6,9,15,135,218,,,,,,,,,,,,,,,,,1974
148,Larry Csonka\CsonLa00,RB,1987,1968,1979,2,5,11,73,146,,,,,,,,,1891,8081,64,54,106,820,4,65,1973.5
149,Len Dawson\DawsLe00,QB,1987,1957,1975,2,7,12,110,211,2136,3741,28711,239,92,183,167,1423,294,1293,9,43,,,,,1966
150,Joe Greene\GreeJo02,DT,1987,1969,1981,5,10,12,104,181,,,,,,,,,,,,,,,,,1975
151,John Henry Johnson\JohnJo02,FB,1987,1954,1966,0,4,8,41,143,2,5,25,2,15,1,,,1571,6803,48,87,186,1478,7,53,1960
152,Jim Langer\LangJi00,C,1987,1970,1981,4,6,8,89,151,,,,,,,,,,,,,,,,,1975.5
153,Don Maynard\MaynDo00,E,1987,1958,1973,1,4,13,101,186,,,,,,,,,24,70,0,14,633,11834,88,87,1965.5
154,Gene Upshaw\UpshGe00,G,1987,1967,1981,5,7,14,109,217,,,,,,,,,,,,,,,,,1974
155,Paul Hornung\HornPa00,HB,1986,1957,1966,2,2,9,46,104,24,55,383,5,41,4,,,893,3711,50,72,130,1480,12,83,1961.5
156,Ken Houston\HousKe02,DB,1986,1967,1980,2,12,13,96,196,,,,,,,,,,,,,,,,,1973.5
157,Willie Lanier\LaniWi00,LB,1986,1967,1977,3,8,11,88,149,,,,,,,,,,,,,,,,,1972
158,Fran Tarkenton\TarkFr00,QB,1986,1961,1978,1,9,18,149,246,3686,6467,47003,342,89,266,274,2337,675,3674,32,52,1,-12,0,0,1969.5
159,Doak Walker\WalkDo00,HB,1986,1950,1955,4,5,4,0,67,7,28,75,2,23,2,,,309,1520,12,51,152,2539,21,83,1952.5
160,Frank Gatski\GatsFr00,C,1985,1946,1957,3,1,10,0,144,,,,,,,,,,,,,,,,,1951.5
161,Joe Namath\NamaJo00,QB,1985,1965,1977,1,5,9,94,140,1886,3762,27663,173,91,220,109,1052,71,140,7,39,,,,,1971
